RECORD_NBR,PAY_YEAR,DEPARTMENT_NO,DEPARTMENT_TITLE,JOB_CLASS_PGRADE,JOB_TITLE,EMPLOYMENT_TYPE,JOB_STATUS,MOU,MOU_TITLE,REGULAR_PAY,OVERTIME_PAY,ALL_OTHER_PAY,TOTAL_PAY,CITY_RETIREMENT_CONTRIBUTIONS,BENEFIT_PAY,GENDER,ETHNICITY,Annual_Salary,Bonus
3935363434,2013,70,POLICE,2214-3,POLICE OFFICER III,FULL_TIME,NOT_ACTIVE,24,"POLICE OFFICERS, LIEUTENANT AND BELOW",462502.96,0.0,129936.06,592439.02,0.0,0.0,MALE,BLACK,5550035.5200000005,46250.296
3034373232,2020,28,COUNCIL,9296-0,CHIEF LEGISLATIVE ANALYST,FULL_TIME,ACTIVE,00,NON-REPRESENTED,434340.64,0.0,15517.44,449858.08,128825.43,16996.34,FEMALE,ASIAN,5212087.68,43434.064000000006
3034373232,2021,28,COUNCIL,9296-0,CHIEF LEGISLATIVE ANALYST,FULL_TIME,ACTIVE,00,NON-REPRESENTED,420876.88,0.0,15870.24,436747.12,124832.08,17400.0,FEMALE,ASIAN,5050522.5600000005,42087.688
373330373632,2020,98,WATER AND POWER,9998-1,GNL MGR & CHF ENGR WP,FULL_TIME,NOT_ACTIVE,V,UNREPRESENTED UNIT - MANAGEMENT BENEFITS,398486.4,0.0,18477.74,416964.14,26300.0,23219.62,MALE,CAUCASIAN,4781836.800000001,39848.64000000001
3537323833,2020,70,POLICE,9359-0,CHIEF OF POLICE,FULL_TIME,ACTIVE,00,NON-REPRESENTED,396633.23,0.0,1200.0,397833.23,117641.42,305.3,MALE,HISPANIC,4759598.76,39663.323000000004
303036333733,2019,4,AIRPORTS,0161-0,GENERAL MANAGER AIRPORTS,FULL_TIME,NOT_ACTIVE,00,NON-REPRESENTED,393411.2,0.0,6000.0,399411.2,116685.76,17489.52,FEMALE,BLACK,4720934.4,39341.12
383137353633,2021,42,HARBOR,9289-0,GENERAL MANAGER HARBOR DEPARTMENT,FULL_TIME,ACTIVE,00,NON-REPRESENTED,393410.16,0.0,6000.0,399410.16,116685.45,14192.4,MALE,CAUCASIAN,4720921.92,39341.016
3034373232,2019,28,COUNCIL,9296-0,CHIEF LEGISLATIVE ANALYST,FULL_TIME,ACTIVE,00,NON-REPRESENTED,385028.8,0.0,14602.56,399631.36,114199.54,15180.24,FEMALE,ASIAN,4620345.6,38502.88
363636313833,2021,4,AIRPORTS,0161-A,GENERAL MANAGER AIRPORTS,FULL_TIME,ACTIVE,00,NON-REPRESENTED,378752.16,0.0,6000.0,384752.16,112337.89,15869.28,MALE,CAUCASIAN,4545025.92,37875.216
3537323833,2021,70,POLICE,9359-0,CHIEF OF POLICE,FULL_TIME,ACTIVE,00,NON-REPRESENTED,376061.66,0.0,1200.0,377261.66,111539.89,313.68,MALE,HISPANIC,4512739.92,37606.166
